Ad ID,Car Name,Make,Model,Year,KM's driven,Price,Fuel,Registration city,Car documents,Assembly,Transmission,Condition,Seller Location,Description,Car Features
1080792524,Suzuki Every,Suzuki,Every,2018,101628,1850000,Petrol,Islamabad,Original,Imported,Automatic,Used,"Saddar, Rawalpindi","Suzuki Every 
Model 2012 Import 2018
Fully Genion 
White Color , New Leather Seats and Music","Air Bags, Air Conditioning, AM/FM Radio, Front Speakers, Front Camera, Power Locks, Power Steering, Power Windows, Rear speakers, Rear Camera, USB and Auxillary Cable"
1080676810,I am selling Xli 2007,Toyota,Corolla XLI,2007,346000,1895000,Petrol,Lahore,Original,Local,Manual,Used,"New Northern Bypass, Chakwal","Alloy rim 
new tyre
chat bunnet degi in genion paint
sides p touching
Engine 100%
ac heater 100%
apny engine m ha or pack ha
M boofer and android installed
gear hisa 100%
No work required gaurenty","Air Conditioning, Alloy Rims, AM/FM Radio, Front Speakers, USB and Auxillary Cable"
1080652486,SUZUKI BALENO SPORTS 1.3 MANUAL,Suzuki,Baleno,2004,140000,930000,Petrol,Karachi,Original,Imported,Manual,Used,"Ali Town, Mirpur Khas","Suzuki Baleno sports Addition
Model. 2004
Cool Bach color 
2nd owner
Just Minor TouchUp 80% original
Original milage only 1,40,00,0 drive on patrol 
One powerful engine and soundless 10/10 
Smooth suspension 10/10 
Original Company rims new Tyler's
Fuel only patrol average Masha Allah 15 with Ac on the highway
Power Window
Power staring Smooth
Power looks 
Ac child 
New site's covers install
LCD and speakers VIP music system
Drive like new car 
all dacomints are clear
Cplc 10/10 
number plats 10/10 
tikly original 10/10
No any minor work request
Just by an drive smooth car 
Note 8,70 already offer available serious Bayer can contact and more video pics available on WhatsApp  ","ABS, Air Conditioning, Alloy Rims, AM/FM Radio, CD Player, Front Speakers, Heated Seats, Immobilizer Key, Keyless Entry, Navigation System, Power Locks, Power Mirrors, Power Steering, Power Windows, Rear speakers, Rear Camera, Steering Switches, USB and Auxillary Cable"
1080261255,Honda city family car 2006 white color,Honda,City Vario,2006,80000,1670000,Petrol,Karachi,Original,Imported,Automatic,Used,"Zaman Villas, Bahawalpur","ہونڈا سٹی 2006 auto  اے سی ہیٹر اوکے پٹرول ایوریج 15/16 سندھ نمبر تمام ڈاکومنٹس کلئیر ٹوکن لائف ٹائم گاڑی اکسیڈنٹ نئی ھے انجن سو فیصد اوکے گارنٹی
 فریش لک کے لئے باہر سے شاور اندر جینئین 
 ٹائر 10/9 
گاڑی ہر لحاظ سے بالکل اوکے","Air Bags, Air Conditioning, Alloy Rims, AM/FM Radio, CD Player, Front Speakers, Power Locks, Power Steering, Power Windows"
1080112850,Daihatau Move 2021,Daihatsu,Move,2021,6500,3499000,Petrol,Unregistered,Original,Imported,Automatic,Used,"Kot Abdul Malik, Sheikhüpura","Dhaihatsu Move 
Model 2021
import September 2023
push start
climate control
Alloy Rims. 
Radar,
seat heater
and many more
Total genuine
original milage
will be sold on nearest offer","ABS, Air Bags, Air Conditioning, Alloy Rims, AM/FM Radio, CD Player, Cassette Player, Cool Box, Climate Control, DVD Player, Front Speakers, Front Camera, Immobilizer Key, Power Locks, Power Steering, Power Windows, Rear AC Vents, Rear speakers, Rear Camera, Steering Switches, USB and Auxillary Cable"
1078594006,terios kid,Daihatsu,Terios Kid,2004,123123,1425000,Petrol,Sialkot,Original,Imported,Automatic,Used,"Raiwind Bypass, Raiwind","good condition
non accidentally
alloy wheels
original file with smart card
bio matric available
engine is normal condition
family usage car
new battery install","Air Bags, Air Conditioning, Alloy Rims, AM/FM Radio, Cassette Player, Front Speakers, Power Locks, Power Mirrors, Power Windows, USB and Auxillary Cable"
1080231541,Move custom full option 2013/2017,Daihatsu,Move,2013,73000,2150000,Petrol,Lahore,Original,Imported,Automatic,Used,"DHA Phase 1, Lahore","Move custom full option,
2013 model 2017 registered,
Engine suspension perfect,
non-accidental seal are ok,
few paint touchups in sides rest original. 
car can be seen in dha Lahore phase 1.","ABS, Air Bags, Air Conditioning, Climate Control, DVD Player, Front Speakers, Immobilizer Key, Keyless Entry, Navigation System, Power Locks, Power Mirrors, Power Steering, Power Windows, Rear speakers, Rear Camera, Steering Switches, USB and Auxillary Cable"
1075199404,honda civic reborn,Honda,Civic Prosmetic,2007,160000,1670000,Petrol,Karachi,Original,Local,Automatic,Used,"Others, Sadiqabad","Honda reborn prismatic
Model 2007
Chat bonet diggi original
Led back camera alloy wheels fog light sports body kit lagi hoi hai
Ac engine & suspension 100% ok
Gari main 1 rupay ka bhi kam nahi. 
Location sadiqabad 
just buye and drive","ABS, Air Bags, Air Conditioning, Alloy Rims, AM/FM Radio, Front Speakers, Immobilizer Key, Keyless Entry, Power Locks, Power Mirrors, Rear Seat Entertainment, Rear speakers, Rear Camera, USB and Auxillary Cable"
1080865563,Suzuki cultus vx 2006,Suzuki,Cultus VXR,2006,80000,900000,Petrol,Lahore,Original,Imported,Manual,Used,"Saddar, Rawalpindi",suzuki cultus 2006 model Lahore registered. my own name biometric available. all documents clear smart card. old book available. lifetime token update. out side little shower inside totally original seal by seal. Ac Heather working. power steering. front suspension engine gear shokes original. all is best. seat is very good. new battery install 60 amr. Led panel 10 inch install. Center locking. Back camera install. allow rims .  tires 70 persent. only bay and drive. not have any work. Petrol average 15/17. whatsaap,"Air Conditioning, Alloy Rims, Keyless Entry, Navigation System, Power Steering, Rear speakers, Rear Camera"
1080966567,brand new car just buy n drive fully fresh chill ac,Daihatsu,Mira,2011,115000,660000,Petrol,Unregistered,Duplicate,Imported,Automatic,Used,"Khaizi, Quetta",brand new car just buy n drive fully fresh car not a single work required chill ac    engine suspension gear   100 percent ok,"ABS, Air Bags, Air Conditioning, Alloy Rims, Cassette Player, Front Speakers, Front Camera, Immobilizer Key, Navigation System, Power Locks, Power Mirrors, Power Steering, Power Windows, Rear Seat Entertainment, Steering Switches, USB and Auxillary Cable"
1080592678,car for sale only one hand used,Honda,City IVTEC,2023,112076,3400000,Petrol,Islamabad,Original,Local,Manual,Used,"D-12, Islamabad",2500 cc Honda civic vti-oriel 1.8 power,"Air Bags, Air Conditioning, Alloy Rims, AM/FM Radio, Cruise Control, Front Speakers, Front Camera, Power Locks, Power Steering, Power Windows, Rear Camera, Sun Roof, Steering Switches, USB and Auxillary Cable"
1080716569,Toyota XLI 2008 model,Toyota,Corolla XLI,2008,100000,1920000,CNG,Lahore,Original,Imported,Manual,Used,"Topi, Swabi","Toyota Xli
Model 2008
Registration Lahore
Biometric available
All documents available
All token taxes paid
Condition:-
Roof
Trunk
Piller
Bonet is in genuine condition
Non accidental","ABS, Air Bags, AM/FM Radio, CD Player, Rear AC Vents, USB and Auxillary Cable"
1080826824,Wagon R  2014 VXL,Suzuki,Wagon R,2014,125000,1600000,Petrol,Karachi,Original,Local,Manual,Used,"Jamshed Road, Karachi","Wogan R 2014 VXL Very well maintained Excellent condition 100%

 non accident","Air Bags, Air Conditioning, AM/FM Radio, Front Speakers, Immobilizer Key, Power Locks, Power Windows"
1080367561,ہنڈائ سنٹرو کلب اندر سے جیوین باہر سے ٹیچنگ ے ہلکی پھلکی,Hyundai,Santro,2007,84298,890000,Petrol,Gujranwala,Original,Local,Manual,Used,"Usman Colony, Gujranwala",گاڑی ایسے کہ بلکل نئی کڈیشن,"Air Conditioning, Alloy Rims, AM/FM Radio, CD Player, Front Speakers, Keyless Entry, Power Steering, USB and Auxillary Cable"
1080787869,TOYOTA COROLLA ALTIS 1.6,Toyota,Corrolla Altis,2019,49000,4475000,Petrol,Karachi,Original,Local,Automatic,Used,"Others, Karachi","*TOYOTA COROLLA ALTIS 1.6 AUTOMATIC TRANSMISSION*
MODEL:2019
BUMPER TU BUMPER ORIGINAL 
DEMAND:4,475,000
FIRST OWNER CAR 
GLASS COTING

Through out maintain from Toyota Low mileage Petrol driven TV navigation back view camera Excellent condition hids EXTRA ORDINARY CONDITION  smells like brand new car CRYSTAL clear documents tax upto date  Original manual books each and every thing available yet thorough out maintain car!! Visiting place Karachi.","ABS, Air Bags, Air Conditioning, AM/FM Radio, Cruise Control, Climate Control, DVD Player, Front Speakers, Front Camera, Immobilizer Key, Keyless Entry, Navigation System, Power Locks, Power Mirrors, Power Steering, Power Windows, Rear Seat Entertainment, Rear AC Vents, Rear speakers, Rear Camera, Steering Switches, USB and Auxillary Cable"
1080769710,suzuki cultus,Suzuki,Cultus VXR,2009,52000,1050000,Petrol,Lahore,Original,Local,Manual,Used,"New Samanabad, Lahore","chat diigi pillar geniun
inside total geniun
outar shower for fresh look
non accidental 
tyre 100 percent 
engine 100 percent 
just buy and drive
price is negotiable 
contact no ","Air Conditioning, CD Player, Immobilizer Key, Rear speakers"
1080849024,Honda city apire 1.5 prosmetic,Honda,City Aspire,2021,75000,4199000,Petrol,Lahore,Original,Local,Automatic,Used,"Township - Sector A2, Lahore","Honda city aspire
model 2021
condition 10/10
colour black
1500cc
bumber to bumber genuine
only serious buyers
price final hai","Air Conditioning, Alloy Rims, AM/FM Radio, DVD Player, Front Speakers, Immobilizer Key, Power Locks, Power Mirrors, Power Steering, Power Windows, Rear speakers, Rear Camera, USB and Auxillary Cable"
1080755995,eminent blue mehran vxr 2009 model for sale,Suzuki,Mehran VXR,2009,96000,620000,Petrol,Faisalabad,Original,Local,Manual,Used,"Gul Colony, Lahore","petrol , ac genuine non accidental",Air Conditioning
1080529920,Engine100% Ac chill back camera LCD front speaker Tyres60% full ok%car,Daihatsu,Cuore,2006,100000,1000000,Petrol,Lahore,Original,Imported,Manual,Used,"Mamunkanjan, Faisalabad",Phone Number,Front Speakers
1080767585,HONDA CIVIC REBORN 2009,Honda,Civic Prosmetic,2009,105700,1825000,Petrol,Karachi,Original,Local,Automatic,Used,"Gulshan-e-Iqbal, Karachi","Honda Civic Reborn 2009 Automatic black color. 
Hard top
Alloy Rims 17"" with low profile tyres. 
neat and clean car. 
all original, no touchups. 
 no foolish offers please. 
Call if you want to visit or else message on watsapp better to avoid time wasting for  both of us please. 
PLEASE DO NOT COMPARE RATES WITH OTHERS 
THANKS","ABS, Air Bags, Air Conditioning, Alloy Rims, AM/FM Radio, Front Speakers, Front Camera, Keyless Entry, Power Locks, Power Mirrors, Power Steering, Power Windows, Rear Camera"
1080070423,mini pajeri,Mitsubishi,Pajero Mini,2007,100000,1025000,Petrol,Islamabad,Original,Imported,Manual,Used,"Misryal Road, Rawalpindi","Mitsubishi Meni pajero 
* model 1997
* import 2007
* original docoments
* my name smart card
* original return file number plats
* vehicle all history available
* 1100 cc power full engine
* 6 speed gayer
* 4×4 working 
AC working
* 100% new Bridgestone original size tyre
* alyre rim original 5 japani 
* LCD back camera
* best feul average 1L 16/18
* original power windows 
* original center locking
* no accidental original condition Jeep 
* no work required buy and drive 
only series buyers contact me gadi dakh
kr offer Dan exchange possible ha achi car Suzuki mahran ya ravi k sath","Alloy Rims, Keyless Entry, Rear Camera"
1080780702,swift,Suzuki,Swift,2017,90000,2100000,Petrol,Karachi,Original,Local,Manual,Used,"North Nazimabad, Karachi",2017 swift in silver genuine engine call me at this no,"ABS, Air Bags, AM/FM Radio, DVD Player, Front Speakers, Power Locks, Power Mirrors, Power Windows, Rear Camera"
1080834477,Toyota Passo Pearl White 2015,Toyota,Passo,2015,55600,3090000,Petrol,Karachi,Original,Imported,Automatic,Used,"Saadi Town, Karachi","Toyota Passo 
Pearl White
2015/18
km 55600
non accidental
bumper to bumper original
used as 2nd car
chilled ac
climate control
abs 
air bag
dry battery 
used under government officer for office use

interested buyers contact, brokers and timewaster stayaway 

M Aslam","ABS, Air Bags, Air Conditioning, AM/FM Radio, Climate Control, DVD Player, Front Speakers, Immobilizer Key, Keyless Entry, Power Locks, Power Mirrors, Power Steering, Power Windows, Rear Camera"
1074440389,city 2013,Honda,City IVTEC,2013,130000,2650000,Petrol,Karachi,Original,Local,Automatic,Used,"Gulshan-e-Iqbal, Karachi","2013 city gun metallic total original sides slightly touchups due to scratches. 
more or less car is in family use brand new tyres transmission oil just changed engine perfectly fine. new seat covers. 
brand new android Led with back camera.","ABS, Air Conditioning, AM/FM Radio, DVD Player, Front Speakers, Immobilizer Key, Navigation System, Power Locks, Power Mirrors, Power Steering, Power Windows, Rear speakers, Rear Camera, USB and Auxillary Cable"
1080634280,civic reborn isb,Honda,City IVTEC,2013,85000,3100000,Petrol,Islamabad,Original,Local,Manual,Used,"7th Avenue, Islamabad","Isb reg   civic reborn led panel installed. 
Manual. Sunroof","ABS, Air Bags, Air Conditioning, Alloy Rims, AM/FM Radio, CD Player"
1080832835,Kia Picanto AT 1.0  Black 2021,KIA,Picanto,2021,14600,3000000,Petrol,Lahore,Original,Local,Automatic,Used,"Askari 11, Lahore","Kia Picanto Automatic,First owner, 14600 KMs Excellent Condition with all original fittings Lahore Regn with power steering n windows n as good as new.","ABS, Air Bags, Air Conditioning, AM/FM Radio, Climate Control, Front Speakers, Immobilizer Key, Keyless Entry, Power Locks, Power Steering, Power Windows, Rear AC Vents, Rear speakers, USB and Auxillary Cable"
1080269282,I am selling coure 2007,Daihatsu,Cuore,2007,100000,830000,Petrol,Karachi,Original,Imported,Manual,Used,"Federal B Area - Block 22, Karachi",selling coure 2007 model engine ok allow rims only need ac gas just buy and drive,"Alloy Rims, AM/FM Radio, CD Player, Front Speakers"
1080080862,Suzuki bolan,Suzuki,Bolan,2015,50000,950000,Petrol,Punjab,Original,Local,Manual,Used,"Rawat Enclave, Rawalpindi","all the parts are januane
non accidental
neet and clean 
no work required",Climate Control
1080381742,honda city 1.5 aspire automatic,Honda,City Aspire,2021,64000,4500000,Petrol,Punjab,Original,Local,Automatic,Used,"Allama Iqbal Town, Lahore",bumper to bumper geniun. . engine condition is new. . . . . first hand used. . . original document. . . like new car. . buy and drive. . . interior and seats very good like new. . . . 46000 km only drive. . . . price negociable. . . contact. . . faisal on this number. . . . 0/3/0/0/4/7/2/6/0/0/5. . . . urgent sale. . . . .,"ABS, Air Conditioning, DVD Player, Front Speakers, Immobilizer Key, Navigation System, Power Locks, Power Mirrors, Power Steering, Power Windows, Rear Camera, USB and Auxillary Cable"
1080886103,petrol engine selling car,Suzuki,Alto,2012,58600,1165000,Petrol,Karachi,Original,Local,Manual,Used,"Scheme 33, Karachi","Suzuki Alto vxr
2012 model
1st owner
Sealed own powerful Engine 
Though out petrol driver 
Cng never installed original petrol. 
Smooth soft drive 
Manual transmission Perfect gear shifting 
Ac chilled working condition 
Suspension 100%
Inside 100% Original Paint 
Seal by seal Genuine Inside 
Outside body 2 pis touch-up. 
All documents file complete 
Tak uptodate Dec 2023
Note. Family use car 
Price negotiable",USB and Auxillary Cable
1080709770,Karwaan Plus 2021,Changan,Karvaan,2021,27000,2250000,Petrol,Karachi,Original,Local,Manual,Used,"Gulshan-e-Maymar, Karachi","Karwaan Plus Family used never use on transport purpose. 
never go outside karachi. 
27k Km driven. 

1st owner. 

CPLC cleared all file documents available. both keys available. 
Maintained by Changan dealership zero work required. 
100% ok just like a new car. 
Complete original file is available. 
Totally driven on petrol. 
In showroom condition. 
Never been into any accident. 
All taxes paid UpTo date.","Air Conditioning, AM/FM Radio, Front Speakers, Power Locks, Power Steering, Power Windows, Rear AC Vents, Rear Camera, USB and Auxillary Cable"
1080884137,Suzuki swift android penal mint condion,Suzuki,Swift,2016,92900,2225000,Petrol,Lahore,Original,Local,Manual,Used,"Marghzar Officers Colony, Lahore",I want to sale my Suzuki swift mint condion just buy and drive,"ABS, Air Bags, Alloy Rims, AM/FM Radio, Front Speakers, Immobilizer Key, Keyless Entry, Navigation System, Power Locks, Power Mirrors, Power Steering, Power Windows, Rear speakers, Rear Camera, USB and Auxillary Cable"
1079115321,Suzuki Ravi,Suzuki,Ravi,2015,65000,700000,Petrol,Lahore,Original,Local,Manual,Used,"Madni Park Town, Pirmahal",cash ki jarurat hai isliye sel karni hai,Cool Box
1080842659,Baleno 2005 With complete Japanese Accessories,Suzuki,Baleno,2005,109000,1380000,Petrol,Islamabad,Original,Local,Manual,Used,"Lalazar, Rawalpindi",Baleno 2005 model with Total Japanese Accessories Installed Lash condition Original Smart card My own Name No Any work required just buy and Drive only  sides showered for fresh look One Hand use Car . . . . Totally car looks sports car seal to seal genuine car please only serous person contact Thank you,"ABS, Air Conditioning, Alloy Rims, CD Player, Immobilizer Key, Power Locks, Power Mirrors, Power Windows, USB and Auxillary Cable"
1079562921,faw xpv,FAW,X-PV,2016,156000,875000,Petrol,Multan,Original,Imported,Manual,Used,"Chungi No. 5, Kabirwala","new condition dual ac fog lights (no work required) new tires no teaching
please serious people contact me ",Air Conditioning
1080842042,Daihatsu Mira G smart Package,Daihatsu,Mira,2013,60000,2200000,Petrol,Karachi,Original,Imported,Automatic,Used,"North Karachi, Karachi","Mira G smart Package
Colour Silver. 
Model 2013/2015. 
Mileage 60,000 km approx. 
Assembly changed. 
Few pieces touchup. 
Non Accidental Car 
powerful suspension. 
all features work properly. ALL DOCUMENTS cleared and available. 
HID Installed
Fog lights Installed
Android Panel Installed with 
rotating Back camera also featured
Car cover Available
recently Oil changed. After Market Alloy rims.","ABS, Air Bags, Air Conditioning, Alloy Rims, DVD Player, Front Speakers, Immobilizer Key, Keyless Entry, Power Locks, Power Mirrors, Power Steering, Power Windows, Rear Camera, Steering Switches, USB and Auxillary Cable"
1080600429,gari bilkul ok ha gari sari shwer ha sari seal ok ha,Toyota,Corolla XLI,2017,300000,2720000,Petrol,Lahore,Original,Local,Manual,Used,"Others, Gujranwala",gari bilkul ok ha charoo tarf sy shower ha,"ABS, Air Bags, Alloy Rims, Power Mirrors, Power Steering, Rear Camera, USB and Auxillary Cable"
1080865897,Alto VXL Ags,Suzuki,Alto,2023,15000,2900000,Petrol,Punjab,Original,Local,Automatic,Used,"Mohammad Ali Jinnah Road, Okara","Alto VXL Ags for Sale
Model:2023
Milage:15000
Demand: 29Lakh
Location: Purani Lakar Mandi Okara
Total Genuine","ABS, Air Bags, Air Conditioning, Alloy Rims, AM/FM Radio, Front Speakers, Immobilizer Key, Keyless Entry, Power Locks, Power Mirrors, Power Steering, Power Windows, Rear Camera, USB and Auxillary Cable"
1080916764,Daihatsu Mira ES,Daihatsu,Mira,2011,82356,2010000,Petrol,Lahore,Original,Imported,Automatic,Used,"Model Town - Block R, Lahore","Daihatsu Mira 2011/2015

Total Genuine 
Original Documents 
1st owner 
79000 km driven 
New tyres 
Mechanically fit car. 

Will be sold to nearest offer.","Air Bags, Air Conditioning, CD Player, Power Steering, Power Windows, Rear speakers, USB and Auxillary Cable"
1079285766,suzuki bolan 2014 model for sale,Suzuki,Bolan,2014,80000,1130000,Petrol,Lahore,Original,Imported,Manual,Used,"Dhok Abdullah, Jhelum",suzuki bolan 2014 model for sale condition all ok no any major accidents only some piece showered for fresh look inner genuine totallyy just buy and drive engine ok,"AM/FM Radio, USB and Auxillary Cable"
1080887449,SUZUKI ALTO VXR 2003 FULLY ORIGINAL CONDITION,Suzuki,Alto,2003,90000,680000,Petrol,Karachi,Original,Local,Manual,Used,"Shahra-e-Faisal, Karachi","SUZUKI ALTO VXR 2003. LAST MONTH
FULLY ORIGINAL CONDITION. 
OWN POWERFUL ENGINE. 
CHILLED A/C. 
NO WORK REQUIRED.","Air Conditioning, AM/FM Radio, CD Player, Keyless Entry, Rear speakers"
1080819011,DAIHATSU HIJET,Daihatsu,Hijet,2016,123456,1850000,Petrol,Karachi,Original,Imported,Automatic,Used,"Shah Faisal Town, Karachi","MODEL 2016/2022
IMPORT 2022
FISRT OWER
LCD INSTALL
BACK CAMERA INSTALL
SEAT COVERS INSTALL
FLOOR MEATING INSTALL
2 POWER","ABS, Air Bags, Air Conditioning, AM/FM Radio, Front Speakers, Navigation System, Power Locks, Power Steering, Power Windows, Rear Camera, USB and Auxillary Cable"
1080843095,coure cx eco 2010 50%percent orignal andr se seal by seal orignal,Daihatsu,Cuore,2010,70000,830000,Petrol,Karachi,Original,Local,Manual,Used,"Latifabad Unit 8, Hyderabad",coure cx eco 2010 andr se puri original hain bhair se 50 percent orignal hain location latifabad unit 8,"Air Conditioning, Alloy Rims, AM/FM Radio, Cassette Player, Cool Box, Cruise Control"
1079326682,Mitsubishi Ek Wagon 2013 / 2016,Mitsubishi,Ek Wagon,2013,83000,2000000,Petrol,Karachi,Original,Imported,Automatic,Used,"Khalid Bin Walid Road, Karachi","*EK WAGON*
Make: MITSUBISHI
Model: 2013/2016
Package: KEY
Color: SILVER
Mileage: 83000
Condition: 3 PC TOUCHUP
Demand: 20","ABS, Air Bags, Air Conditioning, Immobilizer Key, Navigation System, Power Locks, Power Mirrors, Power Steering, Power Windows, Rear Camera"
1080728059,SUZUKI SWIFT 2022 FULL OPTION AUTO TRANSMISSION JUST LIKE BRAND NEW,Suzuki,Swift,2022,13000,4750000,Petrol,Karachi,Original,Local,Automatic,Used,"Clifton - Block 7, Karachi","Suzuki Swift 2022 Automatic Full Option Upgraded Bridgestone 205 European Tyres, High End Sporty look Seat Covers, Aloyrims, 1st Owner in Just Like Brand New Condition, only Serious Buyers contact no Brokers, Contact: ","ABS, Air Bags, Air Conditioning, Alloy Rims, AM/FM Radio, CD Player, Cassette Player, Cruise Control, Climate Control, DVD Player, Front Speakers, Front Camera, Heated Seats, Immobilizer Key, Keyless Entry, Navigation System, Power Locks, Power Mirrors, Power Steering, Power Windows, Rear speakers, Rear Camera, Steering Switches, USB and Auxillary Cable"
1080605324,Suzuki Baleno,Suzuki,Baleno,2004,249000,900000,Petrol,Karachi,Original,Imported,Manual,Used,"Motorway Chowk, Islamabad","Baleno 2004, Fit condition, Engine fit, Mechanically OK, AC & hear working, Petrol & CNG working, Smart Card Original Nmbr Plats complete Documents, my own name. . . . . . . . 
price slight flexible. . . . . . . .","AM/FM Radio, CD Player, Front Speakers, Power Steering, Power Windows, Rear speakers, Rear Camera"
1080565900,Wagonr Limited Japanese Mint Condition For Sale,Suzuki,Wagon R,2012,120000,2100000,Petrol,Lahore,Original,Imported,Automatic,Used,"Rahwali Cantt, Gujranwala","*Wagonr (Limited Edition)*
Fuel Average: 18 City + 20 Long 
Import : 2014 
Number : 2015 
Color : Pearl Black 
Mileage : 120,000 

*Condition*
Interior : 10/9 
Exterior: 10/8 
Seats : 10/10 
Tyres : 10/10 (newly installed) 
AC : 10/10 (Chill Cooling) 
Suspension : 10/9 

*Other features*
Push Start  
Smart Entry  
HID’S installed  
Super OLED Android  
Power windows  
Power Left Right mirrors  
Back View Camera  
ABS Breaks","Air Bags, Air Conditioning, Alloy Rims, AM/FM Radio, CD Player, Cool Box, Climate Control, Front Speakers, Immobilizer Key, Keyless Entry, Navigation System, Power Locks, Power Mirrors, Power Steering, Power Windows, Rear speakers, Rear Camera, Steering Switches, USB and Auxillary Cable"
1080867100,carry bolan 2007,Suzuki,Bolan,2007,50000,850000,Petrol,Rawalpindi,Original,Imported,Manual,Used,"Cantt, Rawalpindi",Carry for sale serious buyer check kra gari moka par or deal kra chaska party contact na kra,Front Speakers
1080243326,Toyota Passo,Toyota,Passo,2018,80000,3750000,Petrol,Islamabad,Original,Imported,Automatic,Used,"DHA Phase 6, Lahore",Automatic car in good condition. Serious buyers only.,"ABS, Air Bags, Air Conditioning, AM/FM Radio, CD Player, Climate Control, Front Speakers, Immobilizer Key, Keyless Entry, Power Mirrors, Power Steering, Power Windows, Rear Camera, Steering Switches"
