municipio,barrio,actividad_principal,codigo_ciiu,clasificación_de_la_empresa,sector_económico,nombre_cargo,numero_de_vacantes,numero_días_a_laborar_por_semana,salario_honorarios,tipo_de_contrato,duración_contrato_(meses),discapacidad,rango_edad,sexo,nivel_educativo,título,nivel_educativo_finalizado,capacitación_específica,manejo_programas_informáticos,programas_informáticos,años_de_experiencia_requerida,disponibilidad_fuera_ciudad,requiere_vehiculo,vehiculo,categoria,visa_pasaporte,idiomas
medellin,alejandria - poblado,construcción de otras obras de ingeniería civil.,f.42.429.,pequeña,construccion,ayudante de obra,10,6,737717,termino fijo,3,no dato,mayor o igual que 18,masculino,ninguno,no aplica,no,no aplica,no,no aplica,12 meses,no,no,no aplica,no aplica,no,no dato
medellin,alejandria - poblado,construcción de otras obras de ingeniería civil.,f.42.429.,pequeña,construccion,maestro de obra,1,6,1844000,termino fijo,3,no dato,mayor o igual que 25,masculino,tecnologico,tecnólogo en obras civiles,si,no aplica,no,no aplica,5 años,no,no,no aplica,no aplica,no,no dato
medellin,alejandria - poblado,construcción de otras obras de ingeniería civil.,f.42.429.,pequeña,construccion,oficial de obra,3,6,1470000,termino fijo,3,no dato,mayor o igual que 18,masculino,media (10° - 13°),bachiller academico,si,no aplica,no,no aplica,2 años,no,no,no aplica,no aplica,no,no dato
medellin,alejandria - poblado,construcción de otras obras de ingeniería civil.,f.42.429.,pequeña,construccion,tecnólogo siso,1,6,1300000,termino fijo,3,no dato,mayor o igual que 25,indiferente,tecnologico,tecnólogo en salud ocupacional,si,no aplica,no,no aplica,4 años,no,no,no aplica,no aplica,no,no dato
medellin,alejandria - poblado,construcción de otras obras de ingeniería civil.,f.42.429.,pequeña,construccion,ayudante de obra,10,6,737717,termino fijo,3,no dato,mayor o igual que 18,masculino,ninguno,no aplica,no,no aplica,no,no aplica,12 meses,no,no,no aplica,no aplica,no,no dato
medellin,alejandria - poblado,construcción de otras obras de ingeniería civil.,f.42.429.,pequeña,construccion,maestro de obra,1,6,1844000,termino fijo,3,no dato,mayor o igual que 25,masculino,tecnologico,tecnólogo en obras civiles,si,no aplica,no,no aplica,5 años,no,no,no aplica,no aplica,no,no dato
medellin,alejandria - poblado,construcción de otras obras de ingeniería civil.,f.42.429.,pequeña,construccion,oficial de obra,3,6,1470000,termino fijo,3,no dato,mayor o igual que 18,masculino,media (10° - 13°),bachiller academico,si,no aplica,no,no aplica,2 años,no,no,no aplica,no aplica,no,no dato
medellin,alfonso lopez,fabricación de productos textiles.,c.13.,pequeña,fabricació,vendedor,1,6,800,termino fijo,12,no dato,entre 25 y 45,femenino,técnico,técnico,si,no aplica,si,"excel, word",3 años,no,no,no aplica,no aplica,no,no dato
sabaneta,aliadas del sur,"actividades de desarrollo de sistemas informáticos (planificación, análisis, diseño, programación, pruebas).",j.62.620.6201,pequeña,comunicaciones,analista desarrollador web y movilidad,2,5,1200000,termino indefinido,6,no dato,entre 22 y 40,indiferente,técnico,desarrollo de software,si,desarrollo de software,si,office,12 meses,no,no,no aplica,no aplica,no,inglés
medellin,alpujarra,eventos comerciales,no dato,no dato,no dato,productor de eventos,1,6,1500000,termino fijo,6,no dato,entre 20 y 35,indiferente,tecnologico,prodcutor eventos y/o ferias,si,no aplica,no,no aplica,1 año,si,no,no aplica,no aplica,no,inglés
medellin,alpujarra,eventos comerciales,no dato,no dato,no dato,auxiliar servicio al cliente,1,5,1400000,termino fijo,6,no dato,entre 22 y 45,indiferente,tecnologico,tecnolo en carrera administrativas,si,tabulacion encuestas,si,excel avanzado,6 meses,no,no,no aplica,no aplica,no,inglés
medellin,alpujarra,comercio al por mayor de productos alimenticios.,g.46.463.4631,pequeña,"comercio, hoteles y restaurantes",jefe chef,1,6,1000000,termino indefinido,6,no dato,mayor o igual que 18,indiferente,técnico,técnico en cocina,si,curso manipulación de alimentos,no,no aplica,0,no,no,no aplica,no aplica,no,no dato
medellin,america,actividades combinadas de servicios administrativos de oficina.,n.82.821.8211,pequeña,"servicios comunales, sociales y personales",vendedor,10,5,781242,obra o labor,3,no dato,mayor o igual que 18,indiferente,secundaria (6° - 9°),bachiller academico,si,no aplica,no,no aplica,6 meses,si,no,no aplica,no aplica,no,no dato
medellin,america,actividades combinadas de servicios administrativos de oficina.,n.82.821.8211,pequeña,"servicios comunales, sociales y personales",vendedor,10,5,781242,obra o labor,3,no dato,mayor o igual que 18,indiferente,secundaria (6° - 9°),bachiller academico,si,no aplica,no,no aplica,6 meses,si,no,no aplica,no aplica,no,no dato
envigado,avenida las vegas,actividades de administración empresarial; actividades de consultoría de gestión.,m.70.,grande,intermediación financiera,profesional en entrenamiento (ingeniero de sistemas),1,5,2695000,termino indefinido,6,no dato,mayor o igual que 20,indiferente,profesional,ingeniero de sistemas,si,no aplica,si,ti,0,no,no,no aplica,no aplica,no,no dato
itagui,avenida pilsen,acabado de productos textiles.,c.13.131.1313,pequeña,textil,secretaria auxiliar administrativa,1,6,900000,termino indefinido,6,fisica: amiotrofia espinal,entre 22 y 30,femenino,media (10° - 13°),bachiller,si,no aplica,si,office,0,no,no,no aplica,no aplica,no,no dato
sabaneta,aves maría- betania,información y comunicaciones,j.,grande,comunicaciones,asesor comercial call center,100,6,701880,termino fijo,6,no dato,mayor o igual que 18,indiferente,técnico,cualquier técnica,si,no aplica,no,no aplica,6 meses,no,no,no aplica,no aplica,no,no dato
sabaneta,aves maría- betania,información y comunicaciones,j.,grande,comunicaciones,asesor comercial call center,80,6,701880,termino fijo,6,no dato,mayor o igual que 18,indiferente,técnico,cualquier técnica,si,no aplica,no,no aplica,6 meses,no,no,no aplica,no aplica,no,no dato
sabaneta,aves maría- betania,información y comunicaciones,j.,grande,comunicaciones,asesor comercial call center,90,6,701880,termino obra o labor,6,no dato,mayor o igual que 18,indiferente,técnico,areas administrativas,si,no aplica,no,no aplica,6 meses,no,no,no aplica,no aplica,no,no dato
medellin,b. colombia,"comercio de partes, piezas (autopartes) y accesorios (lujos) para vehículos automotores.",g.45.453.,pequeña,comercio,mensajero,1,6,828116,termino indefinido,6,no dato,mayor o igual que 22,masculino,ninguno,na,no,no aplica,no,no aplica,6 meses,no,no,no aplica,a2,no,no dato
medellin,b. colombia,mantenimiento y reparación de vehículos automotores.,g.45.452.,pequeña,transporte y almacenamiento,secretaria,1,6,828116,termino indefinido,6,no dato,mayor o igual que 25,femenino,media (10° - 13°),bachiller,si,no aplica,si,basicos,6 meses,no,no,no aplica,no aplica,no,no dato
medellin,barrio antioquia,industrias básicas de hierro y de acero.,c.24.241.2410,pequeña,industria manufacturera,moldador y fundidor,2,5,689454,termino fijo,12,no dato,entre 18 y 45,masculino,ninguno,ninguno,no,no aplica,no,no aplica,2 años,no,no,no aplica,no aplica,no,no dato
medellin,barrio colombia,preparación e hilatura de fibras textiles.,c.13.131.1311,mediana,produccion,almacenista,1,6,700,termino indefinido,6,no dato,entre 25 y 35,masculino,media (10° - 13°),bachiller academico o tecnico,si,no aplica,no,no aplica,2 años,no,no,no aplica,no aplica,no,no dato
medellin,barrio colombia,publicidad y estudios de mercado.,m.73.,pequeña,"servicios comunales, sociales y personales",carpintero,1,6,1000000,termino fijo,4,no dato,entre 18 y 50,masculino,ninguno,n/a,no,no aplica,no,no aplica,3 años,no,no,no aplica,no aplica,no,no dato
medellin,barrio colombia,fabricación de equipos eléctricos de iluminación.,c.27.274.,mediana,industria manufacturera,mecánico de taller,1,6,1000000,termino fijo,6,no dato,mayor o igual que 18,masculino,media (10° - 13°),bachiller académico,no,no aplica,no,no aplica,3 meses,no,no,no aplica,no aplica,no,no dato
medellin,barrio los alamos,actividades combinadas de apoyo a instalaciones.,n.81.811.,pequeña,"servicios comunales, sociales y personales",auxiliar de aseo - supervisión,1,6,737717,termino indefinido,6,no dato,mayor o igual que 18,masculino,media (10° - 13°),bachiller,si,no aplica,no,no aplica,1 año,no,si,moto,a2,no,no dato
bello,barrio obrero,actividades de atención en instituciones para el cuidado de personas mayores y/o discapacitadas.,q.87.873.,pequeña,salud,auxilar de hogar gerontologico,1,6,800000,termino fijo,3,no dato,entre 40 y 60,femenino,primaria (1° - 5°),ninguno,no,no aplica,no,no aplica,2 años,no,no,no aplica,no aplica,no,no dato
medellin,barrio triste,"comercio al por mayor de productos textiles, productos confeccionados para uso doméstico.",g.46.464.4641,pequeña,industria manufacturera,jefe de cartera,1,6,2000000,termino fijo,6,no dato,mayor o igual que 18,indiferente,tecnologico,contabilidad,si,no aplica,si,office,2 años,no,no,no aplica,no aplica,no,no dato
medellin,barrio triste,telecomunicaciones.,j.61.,pequeña,comercial,asesor comercial - con moto,3,6,689454,obra o labor,12,no dato,entre 23 y 45,indiferente,media (10° - 13°),bachiller,si,asesoramiento y ventas al consumidor,si,word,1 año,no,si,moto,a2,no,no dato
medellin,batam,comercio de vehículos automotores nuevos.,g.45.451.4511,pequeña,"comercio, hoteles y restaurantes",ejecutivo comercial de autos,1,6,1500000,prestación de servicios,3,no dato,entre 28 y 40,indiferente,profesional,administrador de empresas o ingenieros,no,no aplica,si,office,3 años,no,no,no aplica,no aplica,no,no dato
medellin,bayadera,"comercio al por mayor de materiales de construcción, artículos de ferretería, pinturas, productos de vidrio, equipo y materiales de fontanería y calefacción.",g.46.466.4663,grande,"comercio, hoteles y restaurantes",bodeguero mensajero con moto,2,6,860000,obra o labor,11,no dato,entre 21 y 32,masculino,media (10° - 13°),bachiller,si,no aplica,no,no aplica,12 meses,no,si,moto,no aplica,no,no dato
medellin,belen,otras actividades especializadas para la construcción de edificios y obras de ingeniería civil.,f.43.439.,pequeña,construccion,ingeniero director de obra,2,6,3000000,termino fijo,5,no dato,mayor o igual que 25,indiferente,profesional,ingeniero civil,si,no aplica,no,no aplica,6 meses,no,no,no aplica,no aplica,no,no dato
medellin,belen,fabricación de productos textiles.,c.13.,pequeña,industria manufacturera,operaria de confección,1,6,650000,termino fijo,12,no dato,mayor o igual que 18,femenino,ninguno,ninguno,no,confección,no,no aplica,1 año,no,no,no aplica,no aplica,no,no dato
medellin,belen,no dato,no dato,no dato,no dato,ayudante de obra,2,6,644350,obra o labor,4,no dato,entre 20 y 55,masculino,primaria (1° - 5°),no aplica,no,no aplica,no,no aplica,1 año,no,no,no aplica,no aplica,no,no dato
medellin,belen,"recolección, tratamiento y disposición de desechos, recuperación de materiales.",e.38..,pequeña,"servicios comunales, sociales y personales",guia ambiental,30,6,900000,prestación de servicios,3,no dato,18,indiferente,media (10° - 13°),bachiller,no,no aplica,no,no aplica,1 año,no,no,no aplica,no aplica,no,no dato
medellin,belen,"recolección, tratamiento y disposición de desechos, recuperación de materiales.",e.38..,mediana,"servicios comunales, sociales y personales",operario de recoleccion,36,6,900000,prestación de servicios,3,no dato,mayor o igual que 18,indiferente,ninguno,no aplica,no,no aplica,no,no aplica,3 meses,no,no,no aplica,no aplica,no,no dato
medellin,belen,"fabricación de equipo de medición, prueba, navegación y control.",c.26.265.2651,pequeña,"comercio, hoteles y restaurantes",vendedor mostrador,1,6,644350,termino indefinido,6,no dato,mayor o igual que 18,indiferente,media (10° - 13°),bachiller,si,no aplica,si,"internet, office",1 año,no,no,no aplica,no aplica,no,no dato
medellin,belen,expendio a la mesa de comidas preparadas.,i.56.561.5611,pequeña,"comercio, hoteles y restaurantes",ayudante de cocina,1,6,689454,termino indefinido,6,no dato,mayor o igual que 25,indiferente,primaria (1° - 5°),primaria,no,no aplica,no,no aplica,12 meses,no,no,no aplica,no aplica,no,no dato
medellin,belen,industrias manufactureras,c.,pequeña,ferretaria,auxiliar de contabilidad,1,6,700000,termino fijo,12,no dato,entre 20 y 30,indiferente,técnico,tecnico auxiliar contable,si,no aplica,si,i ltada,1 año,no,no,no aplica,no aplica,no,no dato
medellin,belen,comercio al por menor en establecimientos no especializados.,g.47.471.,mediana,7111,biologo,1,6,1000000,termino fijo,6,no dato,entre 18 y 30,masculino,profesional,biologo,si,no aplica,si,word y excel,0,si,no,no aplica,no aplica,no,no dato
medellin,belen,elaboración de comidas y platos preparados.,c.10.108.1084,pequeña,"comercio, hoteles y restaurantes",auxiliar de cocina comidas rápidas,3,6,734458,termino indefinido,6,no dato,mayor o igual que 18,indiferente,técnico,auxiliar de cocina,no,en puntos de venta en funcionamiento,no,no aplica,1 año,no,no,no aplica,no aplica,no,no dato
medellin,belen,confección de prendas de vestir.,c.14.,no dato,no dato,empacador,2,6,689454,obra o labor,3,no dato,entre 20 y 35,femenino,ninguno,no,no,no aplica,no,no aplica,2 años,no,no,no aplica,no aplica,no,no dato
medellin,belen,obras de ingeniería civil.,f.42.,mediana,construccion,auxiliar administrativa,1,6,689455,obra o labor,6,no dato,entre 25 y 40,femenino,técnico,técnico en secretariado,si,no aplica,si,"word, excel",1 año,no,no,no aplica,no aplica,no,no dato
medellin,belen,gestión de instalaciones deportivas.,r.93.931.9311,pequeña,"servicios comunales, sociales y personales",oficial de apoyo,2,5,1150000,obra o labor,6,no dato,entre 18 y 60,masculino,secundaria (6° - 9°),secundario,no,jardineria,no,no aplica,0,no,no,no aplica,no aplica,no,no dato
medellin,belen,procesamiento y conservación de carne y productos cárnicos.,c.10.101.1011,pequeña,"comercio, hoteles y restaurantes",auxiliar de cocina,2,6,689455,termino indefinido,6,no dato,entre 20 y 30,indiferente,media (10° - 13°),bachiller,si,curso de maipulacion de alimentos,no,no aplica,0,no,no,no aplica,no aplica,no,no dato
medellin,belen,elaboración de productos alimenticios.,c.10.,pequeña,"comercio, hoteles y restaurantes",panadero,1,6,737717,termino fijo,3,no dato,entre 18 y 50,indiferente,primaria (1° - 5°),primaria,si,no aplica,no,no aplica,2 años,no,no,no aplica,no aplica,no,no dato
medellin,belen,"comercio al por menor de artículos de ferretería, pinturas y productos de vidrio en establecimientos especializados.",g.47.475.4752,pequeña,industria manufacturera,conductor,1,6,844000,termino fijo,3,no dato,entre 25 y 40,masculino,primaria (1° - 5°),basica primaria,si,no aplica,no,no aplica,12 meses,no,no,no aplica,c2,no,no dato
medellin,belen,comercio al por menor de artículos de segunda mano.,g.47.477.4775,pequeña,"comercio, hoteles y restaurantes",vendedora,1,6,737717,termino indefinido,6,no dato,entre 19 y 30,indiferente,media (10° - 13°),bachiller,no,no aplica,si,office,6 meses,no,no,no aplica,no aplica,no,no dato
medellin,belen,"comercio al por menor de otros productos alimenticios n.c.p., en establecimientos especializados.",g.47.472.4729,pequeña,"comercio, hoteles y restaurantes",auxiliar de panaderia,1,6,737717,termino fijo,3,no dato,entre 18 y 40,masculino,ninguno,ninguno,no,panaderia,no,no aplica,3 meses,no,no,no aplica,no aplica,no,no dato
medellin,belen,confección de prendas de vestir.,c.14.,pequeña,industria manufacturera,operaria de terminación,3,6,737717,termino indefinido,6,no dato,menor o igual que 40,femenino,ninguno,-,no,no aplica,no,no aplica,12 meses,no,no,no aplica,no aplica,no,no dato
medellin,belen,expendio a la mesa de comidas preparadas.,i.56.561.5611,pequeña,"comercio, hoteles y restaurantes",hornero,1,4,737717,termino fijo,3,no dato,entre 18 y 45,indiferente,ninguno,0,no,no aplica,no,no aplica,6 meses,no,no,no aplica,no aplica,no,no dato
medellin,belen,construcción de otras obras de ingeniería civil.,f.42.429.,mediana,construccion,ayudante de construcción,10,6,737717,termino fijo,3,no dato,mayor o igual que 18,masculino,ninguno,ninguno,no,no aplica,no,no aplica,0,no,no,no aplica,no aplica,no,no dato
medellin,belen,construcción de otras obras de ingeniería civil.,f.42.429.,mediana,construccion,ayudante de construcción,5,6,737717,termino fijo,3,no dato,mayor o igual que 18,masculino,ninguno,ninguno,no,no aplica,no,no aplica,0,no,no,no aplica,no aplica,no,no dato
medellin,belen,"instalaciones eléctricas, de fontanería y otras instalaciones especializadas.",f.43.432.,pequeña,electricidad/gas-suministro,operario maquina de impresión,1,6,1200000,termino fijo,3,no dato,entre 20 y 40,masculino,media (10° - 13°),bachiller,si,diseño grafico,si,"redes sociales, office",1 año,no,no,no aplica,no aplica,no,no dato
medellin,belen,comercio al por mayor no especializado.,g.46.469.,mediana,"comercio, hoteles y restaurantes",asesor comercial,3,6,800000,termino indefinido,6,no dato,mayor o igual que 18,indiferente,técnico,"mercadeo y ventas, servicio al cliente o áreas afines",si,no aplica,no,no aplica,36 meses,no,no,no aplica,no aplica,no,no dato
medellin,belen,confección de prendas de vestir.,c.14.,pequeña,industria manufacturera,operaria de confeccion,1,6,781242,termino fijo,3,no dato,mayor o igual que 18,indiferente,media (10° - 13°),bachiller,no,no aplica,no,no aplica,2 años,no,no,no aplica,no aplica,no,no dato
medellin,belen,comercio al por mayor no especializado.,g.46.469.,mediana,"comercio, hoteles y restaurantes",asesor comercial,1,6,950000,termino indefinido,6,no dato,mayor o igual que 18,indiferente,técnico,"mercadeo y ventas, servicio al cliente o áreas afines",si,no aplica,no,no aplica,36 meses,no,no,no aplica,no aplica,no,no dato
medellin,belen,construcción de otras obras de ingeniería civil.,f.42.429.,grande,construccion,ayudante de construcción 1 - cuo,20,6,781242,termino fijo,6,no dato,entre 18 y 35,indiferente,primaria (1° - 5°),primaria,no,no aplica,no,no aplica,0,no,no,no aplica,no aplica,no,no dato
medellin,belen,construcción de otras obras de ingeniería civil.,f.42.429.,grande,construccion,ayudante de construcción,40,6,781242,obra o labor,3,no dato,entre 20 y 60,masculino,ninguno,no aplica,no,no aplica,no,no aplica,6 meses,no,no,no aplica,no aplica,no,no dato
medellin,belen,construcción de otras obras de ingeniería civil.,f.42.429.,grande,construccion,ayudante de construcción 1 - cuo,10,6,781242,termino fijo,6,no dato,entre 18 y 35,indiferente,primaria (1° - 5°),primaria,no,no aplica,no,no aplica,0,no,no,no aplica,no aplica,no,no dato
medellin,belen,construcción de otras obras de ingeniería civil.,f.42.429.,pequeña,construccion,oficiales de construccion,50,6,1941000,prestación de servicios,6,no dato,mayor o igual que 18,masculino,ninguno,na,no,no aplica,no,no aplica,2 años,no,no,no aplica,no aplica,no,no dato
medellin,belen,comercio al por menor realizado a través de internet.,g.47.479.4791,pequeña,"comercio, hoteles y restaurantes",operario de producción,1,6,828116,termino fijo,3,no dato,entre 30 y 45,indiferente,media (10° - 13°),bachiller,si,no aplica,no,no aplica,0,no,no,no aplica,no aplica,no,no dato
medellin,belen,mantenimiento y reparación de vehículos automotores.,g.45.452.,mediana,"servicios comunales, sociales y personales",operador de lavado de autos,6,6,828116,termino fijo,6,no dato,entre 24 y 37,masculino,media (10° - 13°),bachiller,no,no aplica,no,no aplica,1 año,no,no,no aplica,no aplica,no,no dato
medellin,belen,elaboración de productos alimenticios.,c.10.,pequeña,alimentos,domiciliario,1,6,828116,termino fijo,6,no dato,mayor o igual que 30,indiferente,secundaria (6° - 9°),secundaria,no,no aplica,no,no aplica,0,no,si,moto,a2,no,no dato
medellin,belen,expendio a la mesa de comidas preparadas.,i.56.561.5611,pequeña,"comercio, hoteles y restaurantes",auxiliar de cocina - comidas rapidas,2,6,828116,obra o labor,3,no dato,mayor o igual que 18,femenino,ninguno,na,no,no aplica,no,no aplica,6 meses,no,no,no aplica,no aplica,no,no dato
medellin,belen,expendio a la mesa de comidas preparadas.,i.56.561.5611,pequeña,"comercio, hoteles y restaurantes",auxiliar de cocina,1,6,828116,obra o labor,3,no dato,mayor o igual que 18,femenino,ninguno,na,no,no aplica,no,no aplica,6 meses,no,no,no aplica,no aplica,no,no dato
medellin,belen,comercio al por menor de otros artículos domésticos en establecimientos especializados.,g.47.475.4759,pequeña,"comercio, hoteles y restaurantes",vendedor,1,6,828116,termino fijo,6,no dato,entre 25 y 35,masculino,media (10° - 13°),bachiller,si,no aplica,si,excel - office,6 meses,no,no,no aplica,no aplica,no,no dato
medellin,belen,comercio al por menor de otros artículos domésticos en establecimientos especializados.,g.47.475.4759,pequeña,"comercio, hoteles y restaurantes",coordinador punto de venta,1,6,828116,termino fijo,6,no dato,entre 25 y 35,femenino,técnico,ventas o fines,si,no aplica,si,"excel, office",6 meses,no,no,no aplica,no aplica,no,no dato
medellin,belén,publicidad.,m.73.731.,pequeña,industria manufacturera,producción taller,2,6,709,termino fijo,6,no dato,entre 20 y 55,masculino,media (10° - 13°),bachiller,si,no aplica,si,"office, internet, correo electrónico",1 año,si,no,no aplica,no aplica,no,no dato
medellin,belén,actividades de apoyo para otras actividades de explotación de minas y canteras.,b.09.099.,pequeña,explotación minas/canteras,técnico (mecánica industrial),1,6,1500000,termino indefinido,6,no dato,entre 22 y 40,masculino,técnico,técnico en mecánica industrial,si,conocimientos en mecánica básica y / o industrial. conocimientos en máquinaria de perforación minera,si,office,2 años,no,no,no aplica,no aplica,no,no dato
medellin,belén,"comercio al por menor de artículos de ferretería, pinturas y productos de vidrio en establecimientos especializados.",g.47.475.4752,pequeña,industria manufacturera,vendedor externo,1,6,689455,termino fijo,3,no dato,entre 25 y 45,masculino,media (10° - 13°),bachiller,si,no aplica,no,no aplica,6 meses,no,si,moto,a2,no,no dato
medellin,belén,alojamiento y servicios de comida.,i.,pequeña,"comercio, hoteles y restaurantes",administrador hostel,1,6,1000000,termino fijo,3,no dato,entre 30 y 40,indiferente,técnico,administración hotelera,no,turismo,si,office,2 años,no,no,no aplica,no aplica,no,no dato
medellin,belén,actividades de servicios de comidas y bebidas.,i.56.,pequeña,"comercio, hoteles y restaurantes",auxiliar de cocina,1,6,689450,termino indefinido,6,no dato,entre 20 y 40,femenino,primaria (1° - 5°),básica primaria,si,no aplica,no,no aplica,12 meses,no,no,no aplica,no aplica,no,no dato
medellin,belén,expendio a la mesa de comidas preparadas.,i.56.561.5611,pequeña,"comercio, hoteles y restaurantes",chef,1,6,781242,termino indefinido,6,no dato,mayor o igual que 18,indiferente,técnico,técnico chef,no,no aplica,no,no aplica,1 año,no,no,no aplica,no aplica,no,no dato
medellin,belén,comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas,g.,grande,construccion,secretaria comercial,1,6,781242,termino fijo,3,no dato,mayor o igual que 18,femenino,media (10° - 13°),bachiller,si,no aplica,si,"word, eexcel, power point.",1 año,no,no,no aplica,no aplica,no,no dato
medellin,belen,"comercio al por menor de carnes (incluye aves de corral), productos cárnicos, pescados y productos de mar, en establecimientos especializados.",g.47.472.4723,pequeña,"comercio, hoteles y restaurantes",mesero- mensajero,1,6,616000,termino indefinido,6,no dato,entre 18 y 30,indiferente,media (10° - 13°),bachiller,si,mesa y bar,no,no aplica,1 año,no,no,no aplica,no aplica,no,no dato
medellin,belen,actividades de servicios de comidas y bebidas.,i.56.,mediana,"comercio, hoteles y restaurantes",auxiliar de cocina,2,6,64435,termino indefinido,6,no dato,entre 25 y 40,femenino,primaria (1° - 5°),primaria,no,no aplica,no,no aplica,1 año,no,no,no aplica,no aplica,no,no dato
medellin,belen,comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas,g.,mediana,transporte y almacenamiento,técnico mecánico,1,6,700000,termino indefinido,6,no dato,entre 20 y 35,indiferente,técnico,mecánico,si,no aplica,no,no aplica,2 años,no,no,no aplica,no aplica,no,no dato
medellin,belen,"comercio al por menor de otros productos alimenticios n.c.p., en establecimientos especializados.",g.47.472.4729,pequeña,"comercio, hoteles y restaurantes",impulsadora,1,6,781242,prestación de servicios,3,no dato,entre 18 y 30,femenino,media (10° - 13°),bachiller,si,no aplica,no,no aplica,6 meses,no,no,no aplica,no aplica,no,no dato
medellin,belén,comercio al por mayor de productos alimenticios.,g.46.463.4631,grande,"comercio, hoteles y restaurantes",ayudante de cocina,1,6,689454,termino indefinido,6,no dato,mayor o igual que 25,indiferente,primaria (1° - 5°),primaria,si,la empresa la capacita,no,no aplica,1 año,no,no,no aplica,no aplica,no,no dato
medellin,belén,otros tipos de intermediación monetaria.,k.64.642.,mediana,financiera,promotor de servicios,3,5,900,termino fijo,11,no dato,mayor o igual que 18,indiferente,tecnologico,"mercadeo, ventas",si,inducción,si,"excel, word, powerpoint",1 año,no,no,no aplica,no aplica,no,no dato
medellin,belén,comercio al por mayor no especializado.,g.46.469.,mediana,construccion,ayudante de construcción,15,5,781242,termino indefinido,6,no dato,mayor o igual que 18,indiferente,ninguno,ninguno,no,no aplica,no,no aplica,0,no,no,no aplica,no aplica,no,no dato
